names	groups	scores	logfc	pvals	pvals_adj
ENSG00000258500	5	2.3264763	1.7396284	0.0298894878615505	459.730212798509
ENSG00000179344	5	2.3100402	0.6048825	0.0300617210518351	462.379331498276
ENSG00000144161	5	2.3082323	0.9370616	0.0302175031234907	464.77541554241
ENSG00000183826	5	2.3044055	0.75893897	0.0302391611340796	465.108537403279
ENSG00000160602	5	2.3443625	2.257092	0.0308098004529329	473.88554076656
ENSG00000272595	5	2.2934947	1.3586191	0.0309130595001165	475.473768171292
ENSG00000165566	5	2.3180509	1.7838038	0.0310610468065169	477.749960931036
ENSG00000158023	5	2.2867754	0.809527	0.0321165693682086	493.984953452417
ENSG00000157500	5	2.2943115	1.7634012	0.0327433332887328	503.625209313998
ENSG00000140968	5	2.2558165	0.7569916	0.0335722208028532	516.374328168685
ENSG00000100813	5	2.260807	1.3971984	0.0350404385592112	538.956985479227
ENSG00000211892	5	2.2408407	1.4384286	0.0351361091794017	540.428495288377
ENSG00000168806	5	2.234707	1.147565	0.0352922522636436	542.830132067102
ENSG00000221978	5	2.2340493	1.2471197	0.0353803142280207	544.184613141186
ENSG00000272578	5	2.2932863	2.2243705	0.0355805384797579	547.264262357156
ENSG00000008853	5	2.2730336	2.4522629	0.0358503758315405	551.414630664925
ENSG00000253755	5	2.246284	1.8505661	0.0359982434859558	553.688983057485
ENSG00000159307	5	2.2233398	1.4587455	0.036617702950155	563.216889076334
ENSG00000170381	5	2.2055454	1.1692903	0.0372540279500851	573.004203900259
ENSG00000228502	5	2.2533052	2.109049	0.0377383968236027	580.454281543833
ENSG00000163864	5	2.2143316	0.47876325	0.0391442937623439	602.078382358612
ENSG00000167703	5	2.1918309	0.8677165	0.0392276754042375	603.360875392576
ENSG00000130032	5	2.1731286	1.0105942	0.040269740587467	619.388879975829
ENSG00000215910	5	2.1777842	1.9478397	0.040389055619628	621.224064485499
ENSG00000162989	5	2.166979	1.3489045	0.0405722501482743	624.041779530607
ENSG00000226132	5	2.2256043	3.122662	0.0429683621630728	660.896378430223
